Column Name,ColumnOrder,Data Type,ITS_or_calculated,Possible Values,ADEX equivalent column(s),Meaning
subjID,1,character,ITS,,File_Name; ProcessingFile,ITS file name
csecMidnight,2,integer,ITS,0-12959900,,centiseconds since midnight of day recorder was first turned on
DayInSeconds,3,integer,calculated,0-129599,,seconds since midnight of day recorder was first turned on (rounded down from csecMidnight)
clockTime,4,period,calculated,00:00:00 - 35:59:59 (ideally),Clock_Time_TZAdj; Timestamp,Time since midnight on day recorder was first turned on in user-specified timezone
recTime,5,numeric,ITS,0-5759900,,Cumulative sum of centiseconds recorder has been on
recClock,6,period,calculated,00:00:00 - 15:59:59.99,,Time since recorder was turned on (easy to compare to WAV files)
recOn,7,numeric,calculated,"0 = no, 1 = yes",,was recorder on this centisecond
recId,8,integer,ITS,1+,,"recording number, consecutively counts up from 1"
recordingInfo,9,character,ITS,similar to: |BR|1|20160404|154613|,,|begin/end recording|recording #|recording start date (UTC)|recording start time (UTC)|
blkId,10,integer,ITS,1+,,"block number (conversations/pauses), consecutively counts up from 1"
blkTypeId,11,integer,ITS,1+,,Consecutive conversation-pause pair
blkType,12,character,ITS,"Conversation, Pause",,is the block a conversation or a pause?
segId,13,integer,ITS,1+,,Consecutive segment count
segAvgdB,14,numeric,ITS,roughly -80 to 0,Average_SignalLevel,average decibel level within segment segId
segPeakdB,15,numeric,ITS,roughly -80 to 0,Peak_SignalLevel,maximum decibel level within segment segId
adultWordCnt,16,numeric,calculated,0+,AWC; AWC.Actual,femaleAdultWordCnt + maleAdultWordCnt
femaleAdultWordCnt,17,numeric,ITS,0+,FAN_Word_Count,estimated number of female adult words
maleAdultWordCnt,18,numeric,ITS,0+,MAN_Word_Count,estimated number of male adult words
femaleAdultSpeech,19,numeric,calculated,"0 = no, 1 = yes",,did centisecond contain female adult speech
maleAdultSpeech,20,numeric,calculated,"0 = no, 1 = yes",,did centisecond contain male adult speech
femaleAdultNonSpeech,21,numeric,ITS,"0 = no, 1 = yes",FAN_NonVoc_Duration,did centisecond contain female adult nonspeech
maleAdultNonSpeech,22,numeric,ITS,"0 = no, 1 = yes",MAN_NonVoc_Duration,did centisecond contain male adult nonspeech
childUttCnt,23,numeric,ITS,"0 = no, 1 = yes",Child_Voc_Count; CVC.Actual,child utterance count; calculated at first centisecond of each childUtt (consistent with ADEX)
childUttLen,24,numeric,ITS,0-1,Child_Voc_Duration,proportion of centisecond containing child utterance; smoothed across utterances if break between utterances is exactly 300 centiseconds
childUtt,25,numeric,ITS,"0 = no, 1 = yes",,did centisecond contain child utterance
childCry,26,numeric,ITS,"0 = no, 1 = yes",,did centisecond contain child cry
childVfx,27,numeric,ITS,"0 = no, 1 = yes",,did centisecond contain child other vocalization
convTurnCount,28,integer,ITS,"0 = no, 1 = yes",Turn_Count; CTC.Actual,Conversational turn count; calculated at first centisecond of each ConvTurnRespond (consistent with ADEX)
convTurnInitiate,29,integer,ITS,"0 = no, 1 = yes",,conversational turn initiated (start speaker 1)
convTurnRespond,30,integer,ITS,"0 = no, 1 = yes",,conversational turn response (start speaker 2)
convTurnExtend,31,integer,ITS,"0 = no, 1 = yes",,conversational turn extended (start speaker 1 part 2)
conversationInfo,32,character,ITS,similar to: |BC|1|0|0|AIOCF|NT|FI|,,SEE BELOW COLUMNS FOR INTERPRETATION: |convStatus|convCount|convTurnCount|convResponseCount|convType|convTurnType|convFloorType|
convStatus,33,character,ITS,"BC, RC, EC",,"in Conversation: beginning, running, end of block"
convCount,34,integer,ITS,1+,,"block number (conversations/pauses), consecutively counts up from 1"
convType,35,character,ITS,"AMF, AIOCF, XM, CIC, AICF, XIOCA, AMM, CM, XIC, AICM, AIOCCXM, AIOCM, XIOCAC, CIOCX, CIOCAX, XIOCC, AIOCCXF",,codes for initiator and participants
convTurnType,36,character,ITS,"TIFI, TIMI, TIFR, TIMR, TIFE, TIME, NT",,"Turn type: (not sure what TI mean)  F = female, M = male, I = initiate, R = response"
convFloorType,37,character,ITS,"FI, FH",,"Floor initiation, floor holding. FH = speaker continued from prior segment"
spkr,38,character,ITS,MAN MAF FAN FAF CHN CHF CXN CXF NON NOF OLN OLF TVN TVF SIL OFF,,speaker of centisecond
MAN,39,numeric,ITS,"0 = no, 1 = yes",MAN,was centisecond speaker MAN
MAF,40,numeric,ITS,"0 = no, 1 = yes",,was centisecond speaker MAF
FAN,41,numeric,ITS,"0 = no, 1 = yes",FAN,was centisecond speaker FAN
FAF,42,numeric,ITS,"0 = no, 1 = yes",,was centisecond speaker FAF
CHN,43,numeric,ITS,"0 = no, 1 = yes",CHN,was centisecond speaker CHN
CHF,44,numeric,ITS,"0 = no, 1 = yes",,was centisecond speaker CHF
CXN,45,numeric,ITS,"0 = no, 1 = yes",CXN,was centisecond speaker CXN
CXF,46,numeric,ITS,"0 = no, 1 = yes",,was centisecond speaker CXF
NON,47,numeric,ITS,"0 = no, 1 = yes",NON,was centisecond speaker NON
NOF,48,numeric,ITS,"0 = no, 1 = yes",,was centisecond speaker NOF
OLN,49,numeric,ITS,"0 = no, 1 = yes",OLN,was centisecond speaker OLN
OLF,50,numeric,ITS,"0 = no, 1 = yes",,was centisecond speaker OLF
TVN,51,numeric,ITS,"0 = no, 1 = yes",TVN,was centisecond speaker TVN
TVF,52,numeric,ITS,"0 = no, 1 = yes",,was centisecond speaker TVF
SIL,53,numeric,ITS,"0 = no, 1 = yes",SIL,was centisecond speaker SIL
OFF,54,numeric,calculated,"0 = no, 1 = yes",,DLP/recorder OFF
startclocklocal_secMidnight,55,integer,calculated,0+,,start time of recId in seconds seconds since midnight on the first day the recorder was turned on
timezone,56,character,user input,see OlsonNames(),,timezone entered by user
recordingStart,57,numeric,calculated,0+,,start time of recId in seconds since the recorder was first turned on
secMidnightDate,58,integer,calculated,epoch + DayInSeconds,,current epoch seconds from 1970-1-1 00:00:00
dateTime_UTC,59,datetime/character,calculated,YYYY-MM-DDTHH:MM:SSZ,,ISO format datetime in UTC
dateMidnight_epoch,60,integer,calculated,,,recording day midnight epoch seconds from 1970-1-1 00:00:00
